NHL;Player;new;old;Pos;GP;G / W;A / SO;P;GG;AA;PP;Salary;PoolRank;OT
369;Alexis Lafreniere;NYR;NYR;L;79;19;12;31;38;12;50;925000;324;0
483;Justin Schultz;SEA;WSH;D;74;4;19;23;12;38;50;3000000;325;0
546;Artem Zub;OTT;OTT;D;81;6;16;22;18;32;50;2500000;326;0
9999;Scott Wedgewood;DAL;NJD,ARI,DAL;G;32;13;1;0;39;5;50;1000000;327;6
186;Connor Brown;WAS;OTT;R;64;10;29;39;20;29;49;3600000;328;0
219;Alexander Barabanov;SJS;SJS;L;70;10;29;39;20;29;49;2500000;329;0
241;Jonathan Toews;CHI;CHI;C;71;12;25;37;24;25;49;10500000;330;0
296;Jakob Chychrun;ARI;ARI;D;47;7;14;21;21;28;49;4600000;331;0
344;Blake Coleman;CGY;CGY;C;81;16;17;33;32;17;49;4900000;332;0
425;Justin Holl;TOR;TOR;D;69;3;20;23;9;40;49;2000000;333;0
523;P.K. Subban;None;NJD;D;77;5;17;22;15;34;49;0;334;0
243;Sonny Milano;None;ANA;L;66;14;20;34;28;20;48;0;335;0
253;Tanner Pearson;VAN;VAN;L;68;14;20;34;28;20;48;3250000;336;0
260;Andreas Johnsson;NJD;NJD;L;71;13;22;35;26;22;48;3400000;337;0
271;Kyle Palmieri;NYI;NYI;R;69;15;18;33;30;18;48;5000000;338;0
285;Alexander Wennberg;SEA;SEA;C;80;11;26;37;22;26;48;4500000;339;0
335;Jesper Fast;CAR;CAR;R;82;14;20;34;28;20;48;2000000;340;0
354;Nicholas Paul;TBL;OTT,TBL;L;80;16;16;32;32;16;48;3150000;341;0
506;Nikita Zadorov;CGY;CGY;D;74;4;18;22;12;36;48;3750000;342;0
516;Jake McCabe;CHI;CHI;D;75;4;18;22;12;36;48;4000000;343;0
234;Robby Fabbri;DET;DET;C;56;17;13;30;34;13;47;4000000;344;0
240;William Karlsson;VGK;VGK;C;67;12;23;35;24;23;47;5900000;345;0
326;Ryan Donato;SEA;SEA;C;74;16;15;31;32;15;47;1200000;346;0
341;Dominik Kubalik;DET;CHI;L;78;15;17;32;30;17;47;2500000;347;0
370;Cole Sillinger;CLB;CBJ;C;79;16;15;31;32;15;47;925000;348;0
385;Ryan Pulock;NYI;NYI;D;56;5;16;21;15;32;47;6150000;349;0
531;Brett Kulak;EDM;MTL,EDM;D;74;5;16;21;15;32;47;2750000;350;0
539;Nick Jensen;WAS;WSH;D;76;5;16;21;15;32;47;2500000;351;0
606;Kandre Miller;NYR;NYR;D;82;7;13;20;21;26;47;925000;352;0
9999;Karel Vejmelka;ARI;ARI;G;49;13;1;0;39;5;47;2725000;353;3
281;Alex Newhook;COL;COL;C;71;13;20;33;26;20;46;908333;354;0
291;Anthony Beauvillier;NYI;NYI;L;75;12;22;34;24;22;46;4150000;355;0
329;Barclay Goodrow;NYR;NYR;C;79;13;20;33;26;20;46;3641667;356;0
353;Vladislav Namestnikov;TBL;DET,DAL;C;75;16;14;30;32;14;46;2500000;357;0
463;Zach Whitecloud;VGK;VGK;D;59;8;11;19;24;22;46;2750000;358;0
9999;Kaapo Kahkonen;SJS;MIN,SJS;G;33;14;0;0;42;0;46;2750000;359;4
367;Tomas Tatar;NJD;NJD;L;76;15;15;30;30;15;45;4500000;360;0
398;Isac Lundestrom;ANA;ANA;C;80;16;13;29;32;13;45;1800000;361;0
493;Ty Smith;PIT;NJD;D;66;5;15;20;15;30;45;863333;362;0
198;Christian Dvorak;MTL;MTL;C;56;11;22;33;22;22;44;4450000;363;0
308;Lars Eller;WAS;WSH;C;72;13;18;31;26;18;44;3500000;364;0
342;Derek Grant;ANA;ANA;C;71;15;14;29;30;14;44;1500000;365;0
373;Sean Kuraly;CLB;CBJ;C;77;14;16;30;28;16;44;2500000;366;0
379;Sam Gagner;WPG;DET;C;81;13;18;31;26;18;44;750000;367;0
477;Matt Roy;LAK;LAK;D;67;2;19;21;6;38;44;3150000;368;0
522;Jon Merrill;MIN;MIN;D;69;4;16;20;12;32;44;1200000;369;0
323;Philip Tomasino;NAS;NSH;C;76;11;21;32;22;21;43;863333;370;0
345;Kasperi Kapanen;PIT;PIT;R;79;11;21;32;22;21;43;3200000;371;0
453;Duncan Keith;bye;EDM;D;64;1;20;21;3;40;43;0;372;0
585;Brenden Dillon;WPG;WPG;D;79;3;17;20;9;34;43;3900000;373;0
587;Nick Holden;OTT;OTT;D;76;5;14;19;15;28;43;1300000;374;0
290;Calle Jarnkrok;TOR;SEA,CGY;C;66;12;18;30;24;18;42;2100000;375;0
304;Mathieu Joseph;OTT;TBL,OTT;R;69;12;18;30;24;18;42;2950000;376;0
316;Denis Gurianov;DAL;DAL;R;73;11;20;31;22;20;42;2900000;377;0
351;Jake Evans;MTL;MTL;C;72;13;16;29;26;16;42;1700000;378;0
422;Michael Rasmussen;DET;DET;C;80;15;12;27;30;12;42;1460000;379;0
458;Nick Bonino;SJS;SJS;C;80;16;10;26;32;10;42;2050000;380;0
566;Justin Braun;PHI;PHI,NYR;D;69;6;12;18;18;24;42;1000000;381;0
676;Martin Fehervary;WAS;WSH;D;79;8;9;17;24;18;42;791667;382;0
9999;Semyon Varlamov;NYI;NYI;G;29;10;2;0;30;10;42;5000000;383;2
165;Kevin Hayes;PHI;PHI;C;48;10;21;31;20;21;41;7142857;384;0
231;Ondrej Kase;CAR;TOR;R;50;14;13;27;28;13;41;1500000;385;0
283;Alexander Edler;LAK;LAK;D;41;3;16;19;9;32;41;750000;386;0
294;Scott Laughton;PHI;PHI;C;67;11;19;30;22;19;41;3000000;387;0
299;Jesperi Kotkaniemi;CAR;CAR;C;66;12;17;29;24;17;41;4820000;388;0
423;Arthur Kaliyev;LAK;LAK;R;80;14;13;27;28;13;41;894167;389;0
472;Henri Jokiharju;BUF;BUF;D;60;3;16;19;9;32;41;2500000;390;0
497;Yakov Trenin;NAS;NSH;C;80;17;7;24;34;7;41;1700000;391;0
9999;Adin Hill;VGK;SJS;G;22;10;2;0;30;10;41;2175000;392;1
9999;Jake Allen;MTL;MTL;G;35;9;2;0;27;10;41;2875000;393;4
9999;Mackenzie Blackwood;NJD;NJD;G;24;9;2;0;27;10;41;2800000;394;4
157;Ryan Getzlaf;bye;ANA;C;56;3;34;37;6;34;40;0;395;0
417;Garnet Hathaway;WAS;WSH;R;76;14;12;26;28;12;40;1500000;396;0
447;Vasily Podkolzin;VAN;VAN;R;79;14;12;26;28;12;40;925000;397;0
561;Marcus Pettersson;PIT;PIT;D;72;2;17;19;6;34;40;4025175;398;0
584;Ian Cole;TBL;CAR;D;75;2;17;19;6;34;40;3000000;399;0
669;Erik Gudbranson;CLB;CGY;D;78;6;11;17;18;22;40;4000000;400;0
9999;Dustin Tokarski;PIT;BUF;G;28;10;1;0;30;5;40;775000;401;5
102;Mark Stone;VGK;VGK;R;37;9;21;30;18;21;39;9500000;402;0
127;Jack Eichel;VGK;VGK;C;34;14;11;25;28;11;39;10000000;403;0
212;Bowen Byram;COL;COL;D;30;5;12;17;15;24;39;894167;404;0
306;Patric Hornqvist;FLA;FLA;R;65;11;17;28;22;17;39;5300000;405;0
491;Erik Gustafsson;WAS;CHI;D;59;3;15;18;9;30;39;800000;406;0
511;Scott Mayfield;NYI;NYI;D;61;3;15;18;9;30;39;1450000;407;0
567;Brayden McNabb;VGK;VGK;D;69;3;15;18;9;30;39;2850000;408;0
577;Luke Schenn;VAN;VAN;D;66;5;12;17;15;24;39;850000;409;0
603;Keith Yandle;None;PHI;D;77;1;18;19;3;36;39;0;410;0
619;Brian Dumoulin;PIT;PIT;D;76;3;15;18;9;30;39;4100000;411;0
621;Jan Rutta;PIT;TBL;D;76;3;15;18;9;30;39;2750000;412;0
9999;Martin Jones;SEA;PHI;G;33;12;0;0;36;0;39;2000000;413;3
324;Marcus Johansson;WAS;SEA,WSH;L;69;9;20;29;18;20;38;1100000;414;0
349;Vinnie Hinostroza;BUF;BUF;C;62;13;12;25;26;12;38;1700000;415;0
424;Patrick Maroon;TBL;TBL;L;81;11;16;27;22;16;38;1000000;416;0
446;Oskar Lindblom;SJS;PHI;L;79;12;14;26;24;14;38;2500000;417;0
470;Warren Foegele;EDM;EDM;L;82;12;14;26;24;14;38;2750000;418;0
607;Mike Reilly;BOS;BOS;D;70;4;13;17;12;26;38;3000000;419;0
616;Josh Manson;COL;ANA,COL;D;67;6;10;16;18;20;38;4500000;420;0
158;Nicklas Backstrom;WAS;WSH;C;47;6;25;31;12;25;37;9200000;421;0
301;Dustin Brown;None;LAK;R;64;9;19;28;18;19;37;0;422;0
303;Jordan Greenway;MIN;MIN;L;62;10;17;27;20;17;37;3000000;423;0
307;Teddy Blueger;PIT;PIT;C;65;9;19;28;18;19;37;2200000;424;0
350;Eric Robinson1;CLB;CBJ;L;67;10;17;27;20;17;37;1600000;425;0
408;Jason Spezza;None;TOR;C;71;12;13;25;24;13;37;0;426;0
420;Brad Hunt;COL;VAN;D;50;3;14;17;9;28;37;762500;427;0
450;Oliver Wahlstrom;NYI;NYI;R;73;13;11;24;26;11;37;894167;428;0
471;David Kampf;TOR;TOR;C;82;11;15;26;22;15;37;1500000;429;0
476;Rasmus Sandin;TOR;TOR;D;51;5;11;16;15;22;37;0;430;0
541;David Savard;MTL;MTL;D;62;3;14;17;9;28;37;3500000;431;0
666;Tyler Myers;VAN;VAN;D;82;1;17;18;3;34;37;6000000;432;0
210;TJ Oshie;WAS;WSH;R;44;11;14;25;22;14;36;5750000;433;0
712;Brandon Carlo;BOS;BOS;D;79;6;9;15;18;18;36;4100000;434;0
348;Nick Ritchie;ARI;TOR,ARI;L;57;12;11;23;24;11;35;2500000;435;0
391;Kirby Dach;MTL;CHI;C;70;9;17;26;18;17;35;3362500;436;0
405;Colton Sissons;NAS;NSH;C;79;7;21;28;14;21;35;2857143;437;0
421;Rasmus Asplund;BUF;BUF;C;80;8;19;27;16;19;35;825000;438;0
434;Eetu Luostarinen;FLA;FLA;C;78;9;17;26;18;17;35;1500000;439;0
451;Alex Chiasson;None;VAN;R;67;13;9;22;26;9;35;0;440;0
513;Caleb Jones;CHI;CHI;D;51;5;10;15;15;20;35;1350000;441;0
551;Luke Kunin;SJS;NSH;C;82;13;9;22;26;9;35;2750000;442;0
623;Jamie Oleksiak;SEA;SEA;D;72;1;16;17;3;32;35;4600000;443;0
624;Trevor van Riemsdyk1;WAS;WSH;D;72;1;16;17;3;32;35;950000;444;0
644;Marc Staal;FLA;DET;D;71;3;13;16;9;26;35;750000;445;0
682;Radko Gudas;FLA;FLA;D;77;3;13;16;9;26;35;2500000;446;0
9999;Samuel Montembeault;MTL;MTL;G;30;8;1;0;24;5;35;1000000;447;6
360;Barrett Hayton;ARI;ARI;C;60;10;14;24;20;14;34;0;448;0
381;Rudolfs Balcers;FLA;SJS;L;61;11;12;23;22;12;34;750000;449;0
383;Nic Dowd;WAS;WSH;C;64;10;14;24;20;14;34;1300000;450;0
389;Mattias Janmark;EDM;VGK;C;67;9;16;25;18;16;34;1250000;451;0
399;Jonathan Dahlen;bye;SJS;C;61;12;10;22;24;10;34;0;452;0
412;Janis Moser;ARI;ARI;D;43;4;11;15;12;22;34;886667;453;0
415;Brock McGinn;PIT;PIT;L;64;12;10;22;24;10;34;2750000;454;0
416;Blake Lizotte;LAK;LAK;C;70;10;14;24;20;14;34;1675000;455;0
460;Filip Zadina;DET;DET;R;74;10;14;24;20;14;34;1825000;456;0
469;Daniel Sprong;None;WSH,SEA;R;63;14;6;20;28;6;34;0;457;0
484;Nicolas Aube Kubel;TOR;PHI,COL;R;74;11;12;23;22;12;34;1000000;458;0
490;Eeli Tolvanen;NAS;NSH;R;75;11;12;23;22;12;34;1450000;459;0
557;Adam Lowry;WPG;WPG;C;79;13;8;21;26;8;34;3250000;460;0
609;Rasmus Ristolainen;PHI;PHI;D;66;2;14;16;6;28;34;5100000;461;0
711;Ryan Lindgren;NYR;NYR;D;78;4;11;15;12;22;34;3000000;462;0
340;Jesper Boqvist;NJD;NJD;C;56;10;13;23;20;13;33;874125;463;0
507;Taylor Raddysh;CHI;TBL,CHI;R;74;11;11;22;22;11;33;758333;464;0
610;Ethan Bear;CAR;CAR;D;58;5;9;14;15;18;33;2200000;465;0
9999;Chris Driedger;SEA;SEA;G;24;9;1;0;27;5;33;3500000;466;1
129;Jakub Vrana;DET;DET;L;26;13;6;19;26;6;32;5250000;467;0
181;Anthony Mantha;WAS;WSH;R;37;9;14;23;18;14;32;5700000;468;0
321;Tyler Ennis;None;OTT;R;57;8;16;24;16;16;32;0;469;0
467;Brian Boyle;None;PIT;C;66;11;10;21;22;10;32;0;470;0
509;Logan Oconnor;COL;COL;R;81;8;16;24;16;16;32;1050000;471;0
517;Derek Ryan;EDM;EDM;C;75;10;12;22;20;12;32;1250000;472;0
549;Nicolas Hague;VGK;VGK;D;52;4;10;14;12;20;32;0;473;0
678;Jacob Middleton;MIN;SJS,MIN;D;66;4;10;14;12;20;32;2450000;474;0
707;Ilya Lyubushkin;BUF;ARI,TOR;D;77;2;13;15;6;26;32;2750000;475;0
722;Derek Forbort;BOS;BOS;D;76;4;10;14;12;20;32;3000000;476;0
724;Andrew Peeke;CLB;CBJ;D;82;2;13;15;6;26;32;787500;477;0
180;Jaden Schwartz;SEA;SEA;C;37;8;15;23;16;15;31;5500000;478;0
222;Alexandre Texier;CLB;CBJ;C;36;11;9;20;22;9;31;0;479;0
309;Brendan Gallagher;MTL;MTL;R;56;7;17;24;14;17;31;6500000;480;0
372;Oskar Sundqvist;DET;STL,DET;C;59;8;15;23;16;15;31;2750000;481;0
395;Noah Gregor;SJS;SJS;C;63;8;15;23;16;15;31;950000;482;0
406;Sean Monahan;MTL;CGY;C;65;8;15;23;16;15;31;6375000;483;0
432;Owen Tippett;PHI;FLA,PHI;R;63;10;11;21;20;11;31;1500000;484;0
461;Nick Cousins;FLA;NSH;C;68;9;13;22;18;13;31;1100000;485;0
480;Keegan Kolesar;VGK;VGK;R;77;7;17;24;14;17;31;1400000;486;0
505;Jake Muzzin;TOR;TOR;D;47;3;11;14;9;22;31;5625000;487;0
580;Milan Lucic;CGY;CGY;L;82;10;11;21;20;11;31;5250000;488;0
690;Marco Scandella;STL;STL;D;70;3;11;14;9;22;31;3275000;489;0
718;Marc Edouard Vlasic;SJS;SJS;D;75;3;11;14;9;22;31;7000000;490;0
9999;Nico Daws;NJD;NJD;G;23;10;0;0;30;0;31;850833;491;1
9999;Thomas Greiss;STL;DET;G;28;10;0;0;30;0;31;1250000;492;1
295;Victor Rask;None;MIN,SEA;C;47;9;12;21;18;12;30;0;493;0
392;Colin Miller;DAL;BUF;D;38;2;12;14;6;24;30;1850000;494;0
414;Colin Blackwell;CHI;SEA,TOR;C;58;10;10;20;20;10;30;1200000;495;0
452;Filip Chytil;NYR;NYR;C;67;8;14;22;16;14;30;2300000;496;0
508;Sam Carrick;ANA;ANA;C;64;11;8;19;22;8;30;850000;497;0
510;Ryan McLeod;EDM;EDM;C;71;9;12;21;18;12;30;0;498;0
564;Zachary Sanford;NAS;OTT,WPG;L;80;9;12;21;18;12;30;850000;499;0
596;Nathan Bastian;NJD;SEA,NJD;R;72;12;6;18;24;6;30;825000;500;0
657;Mario Ferraro;SJS;SJS;D;63;2;12;14;6;24;30;3250000;501;0
708;Zdeno Chara;None;NYI;D;72;2;12;14;6;24;30;0;502;0
751;Chad Ruhwedel;PIT;PIT;D;78;4;9;13;12;18;30;800000;503;0
9999;Kevin Lankinen;NAS;CHI;G;29;8;0;0;24;0;30;1500000;504;6
252;Michael Del Zotto;FLA;OTT;D;26;3;10;13;9;20;29;750000;505;0
314;Brett Howden;VGK;VGK;C;47;9;11;20;18;11;29;1500000;506;0
378;Peyton Krebs;BUF;VGK,BUF;C;57;7;15;22;14;15;29;863333;507;0
465;Michael Amadio;VGK;TOR,VGK;C;56;11;7;18;22;7;29;762500;508;0
468;William Carrier;VGK;VGK;L;63;9;11;20;18;11;29;1400000;509;0
486;Mason Appleton;WPG;SEA,WPG;C;68;8;13;21;16;13;29;2166667;510;0
494;Morgan Geekie;SEA;SEA;C;73;7;15;22;14;15;29;1400000;511;0
547;Nico Sturm;SJS;MIN,COL;C;74;9;11;20;18;11;29;2000000;512;0
565;Jacob Peterson;DAL;DAL;C;65;12;5;17;24;5;29;842500;513;0
591;Pierre Edouard Bellemare;TBL;TBL;L;80;9;11;20;18;11;29;1000000;514;0
612;Niko Mikkola;STL;STL;D;54;3;10;13;9;20;29;1900000;515;0
648;Ben Hutton;VGK;VGK;D;58;3;10;13;9;20;29;850000;516;0
664;Dylan Coghlan;CAR;VGK;D;59;3;10;13;9;20;29;762500;517;0
696;Jonas Siegenthaler;NJD;NJD;D;70;1;13;14;3;26;29;1125000;518;0
764;Alexander Romanov;NYI;MTL;D;79;3;10;13;9;20;29;2500000;519;0
188;Andreas Athanasiou;CHI;LAK;C;28;11;6;17;22;6;28;3000000;520;0
262;Johan Larsson;None;ARI,WSH;L;43;7;14;21;14;14;28;0;521;0
455;Derek Stepan;CAR;CAR;C;58;9;10;19;18;10;28;0;522;0
464;Zemgus Girgensons;BUF;BUF;L;56;10;8;18;20;8;28;2200000;523;0
502;Nils Hoglander;VAN;VAN;L;60;10;8;18;20;8;28;891667;524;0
560;Erik Brannstrom;OTT;OTT;D;53;0;14;14;0;28;28;900000;525;0
595;Tyson Jost;MIN;COL,MIN;C;80;8;12;20;16;12;28;2000000;526;0
732;Dysin Mayo;ARI;ARI;D;67;4;8;12;12;16;28;950000;527;0
776;Jani Hakanpaa;DAL;DAL;D;80;4;8;12;12;16;28;1500000;528;0
336;Derick Brassard;None;PHI,EDM;C;46;8;11;19;16;11;27;0;529;0
410;Alex Galchenyuk;None;ARI;C;60;6;15;21;12;15;27;0;530;0
457;Ryan Lomberg;FLA;FLA;L;55;9;9;18;18;9;27;800000;531;0
478;Philipp Kurashev;CHI;CHI;C;67;6;15;21;12;15;27;750000;532;0
558;Connor McMichael;WAS;WSH;C;68;9;9;18;18;9;27;863333;533;0
622;Erik Cernak;TBL;TBL;D;55;1;12;13;3;24;27;2950000;534;0
649;Logan Stanley;WPG;WPG;D;58;1;12;13;3;24;27;900000;535;0
684;Gustav Lindstrom;DET;DET;D;63;1;12;13;3;24;27;850000;536;0
737;Mark Pysyk;DET;BUF;D;68;3;9;12;9;18;27;850000;537;0
744;Dylan DeMelo;WPG;WPG;D;76;1;12;13;3;24;27;3000000;538;0
199;Jonathan Drouin;MTL;MTL;L;34;6;14;20;12;14;26;5500000;539;0
365;Jakob Silfverberg;ANA;ANA;R;53;5;16;21;10;16;26;5250000;540;0
435;Sebastian Aho;CAR;NYI;D;36;2;10;12;6;20;26;8460250;541;0
485;Alexander Radulov;bye;DAL;R;71;4;18;22;8;18;26;0;542;0
498;Trent Frederic;BOS;BOS;C;60;8;10;18;16;10;26;1050000;543;0
504;Ryan Poehling;PIT;MTL;C;57;9;8;17;18;8;26;750000;544;0
514;Sam Steel;MIN;ANA;C;68;6;14;20;12;14;26;825000;545;0
562;Evgeny Svechnikov;SJS;WPG;L;72;7;12;19;14;12;26;750000;546;0
573;Michael McLeod;NJD;NJD;C;77;6;14;20;12;14;26;975000;547;0
615;Austin Watson;OTT;OTT;L;67;10;6;16;20;6;26;1500000;548;0
633;Riley Stillman;CHI;CHI;D;52;2;10;12;6;20;26;1350000;549;0
673;Casey Cizikas;NYI;NYI;C;74;10;6;16;20;6;26;2500000;550;0
274;Casey Mittelstadt;BUF;BUF;C;40;6;13;19;12;13;25;2500000;551;0
318;Kieffer Bellows;NYI;NYI;L;45;6;13;19;12;13;25;1200000;552;0
327;Kaapo Kakko;NYR;NYR;R;43;7;11;18;14;11;25;2100000;553;0
334;Jason Zucker;PIT;PIT;L;41;8;9;17;16;9;25;5500000;554;0
456;Zack Kassian;ARI;EDM;R;58;6;13;19;12;13;25;3200000;555;0
550;Dean Kukan;bye;CBJ;D;41;3;8;11;9;16;25;0;556;0
613;Adam Erne;DET;DET;L;79;6;13;19;12;13;25;2100000;557;0
706;Luke Glendening;DAL;DAL;C;82;9;7;16;18;7;25;1500000;558;0
257;Brandon Tanev;SEA;SEA;L;30;9;6;15;18;6;24;3500000;559;0
481;Justin Danforth;CLB;CBJ;R;45;10;4;14;20;4;24;975000;560;0
515;Joonas Donskoi;SEA;SEA;R;75;2;20;22;4;20;24;3900000;561;0
536;Carl Grundstrom;LAK;LAK;R;54;9;6;15;18;6;24;1300000;562;0
578;Chris Tierney;FLA;OTT;C;70;6;12;18;12;12;24;750000;563;0
581;Braden Schneider;NYR;NYR;D;43;2;9;11;6;18;24;925000;564;0
604;Radek Faksa;DAL;DAL;C;77;5;14;19;10;14;24;3250000;565;0
630;Travis Hamonic;OTT;VAN,OTT;D;43;4;6;10;12;12;24;3000000;566;0
636;Curtis Lazar;VAN;BOS;C;70;8;8;16;16;8;24;1000000;567;0
736;Nikita Zaitsev;OTT;OTT;D;62;2;9;11;6;18;24;4500000;568;0
739;Connor Murphy;CHI;CHI;D;57;4;6;10;12;12;24;4400000;569;0
202;Sean Couturier;PHI;PHI;C;29;6;11;17;12;11;23;7750000;570;0
439;Cam York;PHI;PHI;D;30;3;7;10;9;14;23;880833;571;0
500;Gerry Mayhew;None;PHI,ANA;C;40;11;1;12;22;1;23;0;572;0
503;Janne Kuokkanen;None;NJD;C;57;6;11;17;12;11;23;0;573;0
608;Matt Nieto;SJS;SJS;L;70;6;11;17;12;11;23;850000;574;0
639;Joe Veleno;None;DET;C;66;8;7;15;16;7;23;0;575;0
650;Dryden Hunt;NYR;NYR;L;76;6;11;17;12;11;23;762500;576;0
663;Jimmy Vesey;NYR;NJD;L;68;8;7;15;16;7;23;0;577;0
677;Brandon Duhaime;MIN;MIN;R;80;6;11;17;12;11;23;750000;578;0
681;Michael Raffl;None;DAL;L;76;7;9;16;14;9;23;0;579;0
705;Jake Walman;DET;STL,DET;D;51;3;7;10;9;14;23;1050000;580;0
489;Maxime Comtois;ANA;ANA;L;52;6;10;16;12;10;22;2037500;581;0
537;Kale Clague;BUF;LAK,MTL;D;36;2;8;10;6;16;22;750000;582;0
571;Loui Eriksson;None;ARI;L;73;3;16;19;6;16;22;0;583;0
576;Tyler Motte;None;VAN,NYR;C;58;7;8;15;14;8;22;0;584;0
662;Darren Helm;COL;COL;C;68;7;8;15;14;8;22;1250000;585;0
689;Trevor Lewis;CGY;CGY;C;80;6;10;16;12;10;22;800000;586;0
694;Juho Lammikko;None;VAN;L;75;7;8;15;14;8;22;0;587;0
719;Danny DeKeyser;None;DET;D;59;0;11;11;0;22;22;0;588;0
745;Matt Benning;None;NSH;D;65;0;11;11;0;22;22;0;589;0
752;Connor Clifton;BOS;BOS;D;60;2;8;10;6;16;22;1000000;590;0
783;Andy Greene;None;NYI;D;69;2;8;10;6;16;22;0;591;0
411;Maxim Mamin;None;FLA;C;40;7;7;14;14;7;21;0;592;0
520;Morgan Frost;PHI;PHI;C;55;5;11;16;10;11;21;800000;593;0
540;Michael McCarron;NAS;NSH;R;51;7;7;14;14;7;21;750000;594;0
572;Brendan Lemieux;LAK;LAK;L;50;8;5;13;16;5;21;1350000;595;0
582;Cal Clutterbuck;NYI;NYI;R;59;6;9;15;12;9;21;1750000;596;0
583;Jordan Martinook;CAR;CAR;L;59;6;9;15;12;9;21;1800000;597;0
605;Riley Sheahan;BUF;SEA;C;69;4;13;17;8;13;21;950000;598;0
643;Yegor Chinakhov;CLB;CBJ;R;62;7;7;14;14;7;21;925000;599;0
645;Lucas Carlsson;FLA;FLA;D;40;3;6;9;9;12;21;800000;600;0
651;Wayne Simmonds;TOR;TOR;R;72;5;11;16;10;11;21;900000;601;0
709;Steven Lorentz;SJS;CAR;C;67;8;5;13;16;5;21;1050000;602;0
727;Dominic Toninato;WPG;WPG;C;77;7;7;14;14;7;21;750000;603;0
767;Nicolas Deslauriers;PHI;ANA,MIN;L;81;8;5;13;16;5;21;1750000;604;0
796;Jacob Bryson;BUF;BUF;D;73;1;9;10;3;18;21;1850000;605;0
356;Nathan Walker;STL;STL;L;30;8;4;12;16;4;20;750000;606;0
521;Kris Russell;None;EDM;D;31;2;7;9;6;14;20;0;607;0
618;Mattias Samuelsson;BUF;BUF;D;42;0;10;10;0;20;20;925000;608;0
620;Gabriel Carlsson;WAS;CBJ;D;38;2;7;9;6;14;20;750000;609;0
628;Joel Armia;MTL;MTL;R;60;6;8;14;12;8;20;3400000;610;0
637;Nick Bjugstad;ARI;MIN;C;57;7;6;13;14;6;20;900000;611;0
642;Tomas Nosek;BOS;BOS;L;75;3;14;17;6;14;20;1750000;612;0
671;Zach Aston-Reese;None;PIT,ANA;C;69;5;10;15;10;10;20;0;613;0
672;Andrew Cogliano;COL;SJS,COL;C;74;4;12;16;8;12;20;1250000;614;0
697;Kyle Capobianco;WPG;ARI;D;45;2;7;9;6;14;20;762500;615;0
733;Brendan Smith;NJD;CAR;D;45;4;4;8;12;8;20;1100000;616;0
746;Jansen Harkins;WPG;WPG;C;77;7;6;13;14;6;20;850000;617;0
766;Cal Foote;TBL;TBL;D;56;2;7;9;6;14;20;850000;618;0
821;Calvin de Haan;None;CHI;D;69;4;4;8;12;8;20;0;619;0
488;Alec Martinez;VGK;VGK;D;26;3;5;8;9;10;19;5250000;620;0
518;Parker Kelly;OTT;OTT;L;41;7;5;12;14;5;19;762500;621;0
611;Adam Gaudette;TOR;CHI,OTT;C;58;5;9;14;10;9;19;750000;622;0
625;Andrew Ladd;ARI;ARI;L;51;7;5;12;14;5;19;5500000;623;0
748;Zach Bogosian;TBL;TBL;D;48;3;5;8;9;10;19;850000;624;0
792;Robert Hagg;DET;BUF,FLA;D;64;1;8;9;3;16;19;800000;625;0
811;Jack Johnson;CHI;COL;D;74;1;8;9;3;16;19;950000;626;0
441;Jordan Spence;LAK;LAK;D;24;2;6;8;6;12;18;820000;627;0
631;Sam Lafferty;CHI;PIT,CHI;C;56;5;8;13;10;8;18;1150000;628;0
638;Rasmus Kupari;LAK;LAK;C;57;5;8;13;10;8;18;863333;629;0
654;Will Borgen;None;SEA;D;36;2;6;8;6;12;18;0;630;0
674;Will Butcher;DAL;BUF;D;37;2;6;8;6;12;18;750000;631;0
704;Kevin Rooney;CGY;NYR;C;61;6;6;12;12;6;18;1300000;632;0
715;Ryan Reaves;NYR;NYR;R;69;5;8;13;10;8;18;1750000;633;0
728;Jaycob Megna;SJS;SJS;D;44;2;6;8;6;12;18;762500;634;0
734;Jordan Oesterle;DET;DET;D;45;2;6;8;6;12;18;1350000;635;0
793;Mikey Anderson;None;LAK;D;57;2;6;8;6;12;18;0;636;0
552;Emil Bemstrom;CLB;CBJ;C;41;6;5;11;12;5;17;900000;637;0
559;Carl Hagelin;WAS;WSH;L;53;3;11;14;6;11;17;2750000;638;0
568;Matthew Highmore;STL;VAN;C;46;5;7;12;10;7;17;750000;639;0
668;MacKenzie Entwistle;CHI;CHI;R;55;5;7;12;10;7;17;800000;640;0
686;Jordie Benn;TOR;MIN;D;39;1;7;8;3;14;17;750000;641;0
723;Josh Mahura;ANA;ANA;D;38;3;4;7;9;8;17;750000;642;0
812;Olli Maatta;None;LAK;D;66;1;7;8;3;14;17;0;643;0
375;Calle Rosen;STL;STL;D;18;2;5;7;6;10;16;762500;644;0
473;Laurent Dauphin;ARI;MTL;C;38;4;8;12;8;8;16;750000;645;0
579;Scott Reedy;SJS;SJS;C;35;7;2;9;14;2;16;842500;646;0
647;Devin Shore;EDM;EDM;C;49;5;6;11;10;6;16;850000;647;0
665;Jasper Weatherby;SJS;SJS;C;50;5;6;11;10;6;16;842500;648;0
675;Michael Pezzetta;MTL;MTL;L;51;5;6;11;10;6;16;750000;649;0
720;Gavin Bayreuther;CLB;CBJ;D;43;0;8;8;0;16;16;750000;650;0
